Season Start,Year,League,Team (Short),Team (Full),Division,DivWin,WCWin,LgWin,WSWin,G,W,L,RS,AB,H,2B,3B,HR,BB,SO,SB,CS,RA,ER,ERA,CG,SHO,SV
4/1/2000,2000,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,161,69,92,733,5505,1414,253,22,162,558,1022,90,46,842,773,4.86,10,8,38
4/1/2000,2000,AL,TEX,Texas Rangers,W,N,N,N,N,162,71,91,848,5648,1601,330,35,173,580,922,69,47,974,876,5.52,3,4,39
4/1/2000,2000,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,83,79,861,5677,1562,328,21,244,526,1026,89,34,908,821,5.14,15,4,37
4/1/2001,2001,AL,ANA,Anaheim Angels,W,N,N,N,N,162,75,87,691,5551,1447,275,26,158,494,1001,116,52,730,671,4.2,6,1,43
4/1/2001,2001,NL,ARI,Arizona Diamondbacks,W,Y,N,Y,Y,162,92,70,818,5595,1494,284,35,208,587,1052,71,38,677,627,3.87,12,13,34
4/1/2001,2001,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,88,74,729,5498,1432,263,24,174,493,1039,85,46,643,578,3.59,5,13,41
4/1/2001,2001,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,63,98,687,5472,1359,262,24,136,514,989,133,53,829,744,4.67,10,6,31
4/1/2001,2001,AL,BOS,Boston Red Sox,E,N,N,N,N,161,82,79,772,5605,1493,316,29,198,520,1131,46,35,745,667,4.15,3,9,48
4/1/2001,2001,AL,CHA,Chicago White Sox,C,N,N,N,N,162,83,79,798,5464,1463,300,29,214,520,998,123,59,795,725,4.55,8,9,51
4/1/2001,2001,NL,CHN,Chicago Cubs,C,N,N,N,N,162,88,74,777,5406,1409,268,32,194,577,1077,67,36,701,643,4.03,8,6,41
4/1/2001,2001,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,66,96,735,5583,1464,304,22,176,468,1172,103,54,850,765,4.77,2,2,35
4/1/2001,2001,AL,CLE,Cleveland Indians,C,Y,N,N,N,162,91,71,897,5600,1559,294,37,212,577,1076,79,41,821,746,4.64,3,4,42
4/1/2001,2001,NL,COL,Colorado Rockies,W,N,N,N,N,162,73,89,923,5690,1663,324,61,213,511,1027,132,54,906,841,5.29,8,8,26
4/1/2001,2001,AL,DET,Detroit Tigers,C,N,N,N,N,162,66,96,724,5537,1439,291,60,139,466,972,133,61,876,795,5.01,16,2,34
4/1/2001,2001,NL,FLO,Florida Marlins,E,N,N,N,N,162,76,86,742,5542,1461,325,30,166,470,1145,89,40,744,691,4.32,5,11,32
4/1/2001,2001,NL,HOU,Houston Astros,C,Y,N,N,N,162,93,69,847,5528,1500,313,29,208,581,1119,64,49,769,707,4.37,7,6,48
4/1/2001,2001,AL,KCA,Kansas City Royals,C,N,N,N,N,162,65,97,729,5643,1503,277,37,152,406,898,100,42,858,779,4.87,5,1,30
4/1/2001,2001,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,86,76,758,5493,1399,264,27,206,519,1062,89,42,744,685,4.25,3,5,46
4/1/2001,2001,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,68,94,740,5488,1378,273,30,209,488,1399,66,36,806,740,4.64,3,8,28
4/1/2001,2001,AL,MIN,Minnesota Twins,C,N,N,N,N,162,85,77,771,5560,1514,328,38,164,495,1083,146,67,766,722,4.51,12,8,45
4/1/2001,2001,NL,MON,Montreal Expos,E,N,N,N,N,162,68,94,670,5379,1361,320,28,131,478,1071,101,51,812,745,4.68,5,11,28
4/1/2001,2001,AL,NYA,New York Yankees,E,Y,N,Y,N,161,95,65,804,5577,1488,289,20,203,519,1035,161,53,713,649,4.02,7,9,57
4/1/2001,2001,NL,NYN,New York Mets,E,N,N,N,N,162,82,80,642,5459,1361,273,18,147,545,1062,66,48,713,654,4.07,6,14,48
4/1/2001,2001,AL,OAK,Oakland Athletics,W,N,Y,N,N,162,102,60,884,5573,1469,334,22,199,640,1021,68,29,645,583,3.59,13,9,44
4/1/2001,2001,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,86,76,746,5497,1431,295,29,164,551,1125,153,47,719,667,4.15,8,7,47
4/1/2001,2001,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,62,100,657,5398,1333,256,25,161,467,1106,93,73,858,794,5.05,8,9,36
4/1/2001,2001,NL,SDN,San Diego Padres,W,N,N,N,N,162,79,83,789,5482,1379,273,26,161,678,1273,129,44,812,724,4.52,5,6,46
4/1/2001,2001,AL,SEA,Seattle Mariners,W,Y,N,N,N,162,116,46,927,5680,1637,310,38,169,614,989,174,42,627,576,3.54,8,14,56
4/1/2001,2001,NL,SFN,San Francisco Giants,W,N,N,N,N,162,90,72,799,5612,1493,304,40,235,625,1090,57,42,748,680,4.18,3,8,47
4/1/2001,2001,NL,SLN,St. Louis Cardinals,C,N,Y,N,N,162,93,69,814,5450,1469,274,32,199,529,1089,91,35,684,627,3.93,8,11,38
4/1/2001,2001,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,62,100,672,5524,1426,311,21,121,456,1116,115,52,887,781,4.94,1,6,30
4/1/2001,2001,AL,TEX,Texas Rangers,W,N,N,N,N,162,73,89,890,5685,1566,326,23,246,548,1093,97,32,968,913,5.71,4,3,37
4/1/2001,2001,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,80,82,767,5663,1489,287,36,195,470,1094,156,55,753,696,4.28,7,10,41
4/1/2002,2002,AL,ANA,Anaheim Angels,W,N,Y,Y,Y,162,99,63,851,5678,1603,333,32,152,462,805,117,51,644,595,3.69,7,14,54
4/1/2002,2002,NL,ARI,Arizona Diamondbacks,W,Y,N,N,N,162,98,64,819,5508,1471,283,41,165,643,1016,92,46,674,630,3.92,14,10,40
4/1/2002,2002,NL,ATL,Atlanta Braves,E,Y,N,N,N,161,101,59,708,5495,1428,280,25,164,558,1028,76,39,565,511,3.13,3,15,57
4/1/2002,2002,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,67,95,667,5491,1353,311,27,165,452,993,110,48,773,719,4.46,8,3,31
4/1/2002,2002,AL,BOS,Boston Red Sox,E,N,N,N,N,162,93,69,859,5640,1560,348,33,177,545,944,80,28,665,603,3.75,5,17,51
4/1/2002,2002,AL,CHA,Chicago White Sox,C,N,N,N,N,162,81,81,856,5502,1475,289,29,217,555,952,75,31,798,716,4.53,7,7,35
4/1/2002,2002,NL,CHN,Chicago Cubs,C,N,N,N,N,162,67,95,706,5496,1351,259,29,200,585,1269,63,21,759,687,4.29,11,9,23
4/1/2002,2002,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,78,84,709,5470,1386,297,21,169,583,1188,116,52,774,690,4.27,2,8,42
4/1/2002,2002,AL,CLE,Cleveland Indians,C,N,N,N,N,162,74,88,739,5423,1349,255,26,192,542,1000,52,37,837,777,4.91,9,4,34
4/1/2002,2002,NL,COL,Colorado Rockies,W,N,N,N,N,162,73,89,778,5512,1508,283,41,152,497,1043,103,53,898,825,5.2,1,8,43
4/1/2002,2002,AL,DET,Detroit Tigers,C,N,N,N,N,161,55,106,575,5406,1340,265,37,124,363,1035,65,44,864,773,4.92,11,7,33
4/1/2002,2002,NL,FLO,Florida Marlins,E,N,N,N,N,162,79,83,699,5496,1433,280,32,146,595,1130,177,73,763,706,4.36,11,12,36
4/1/2002,2002,NL,HOU,Houston Astros,C,N,N,N,N,162,84,78,749,5503,1441,291,32,167,589,1120,71,27,695,642,4,2,11,43
4/1/2002,2002,AL,KCA,Kansas City Royals,C,N,N,N,N,162,62,100,737,5535,1415,285,42,140,524,921,140,65,891,834,5.21,12,6,30
4/1/2002,2002,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,92,70,713,5554,1464,286,29,155,428,940,96,37,643,598,3.69,4,15,56
4/1/2002,2002,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,56,106,627,5415,1369,269,29,139,500,1125,94,50,821,752,4.73,7,4,32
4/1/2002,2002,AL,MIN,Minnesota Twins,C,Y,N,N,N,161,94,67,768,5582,1518,348,36,167,472,1089,79,62,712,662,4.12,8,9,47
4/1/2002,2002,NL,MON,Montreal Expos,E,N,N,N,N,162,83,79,735,5479,1432,300,36,162,575,1104,118,64,718,641,3.97,9,3,39
4/1/2002,2002,AL,NYA,New York Yankees,E,Y,N,N,N,161,103,58,897,5601,1540,314,12,223,640,1171,100,38,697,625,3.87,9,11,53
4/1/2002,2002,NL,NYN,New York Mets,E,N,N,N,N,161,75,86,690,5496,1409,238,22,160,486,1044,87,42,703,624,3.89,9,10,36
4/1/2002,2002,AL,OAK,Oakland Athletics,W,Y,N,N,N,162,103,59,800,5558,1450,279,28,205,609,1008,46,20,654,593,3.68,9,19,48
4/1/2002,2002,NL,PHI,Philadelphia Phillies,E,N,N,N,N,161,80,81,710,5523,1428,325,41,165,640,1095,104,43,724,671,4.17,5,9,47
4/1/2002,2002,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,161,72,89,641,5330,1300,263,20,142,537,1109,86,49,730,664,4.23,2,7,47
4/1/2002,2002,NL,SDN,San Diego Padres,W,N,N,N,N,162,66,96,662,5515,1393,243,29,136,547,1062,71,44,815,737,4.62,5,10,40
4/1/2002,2002,AL,SEA,Seattle Mariners,W,N,N,N,N,162,93,69,814,5569,1531,285,31,152,629,1003,137,58,699,654,4.07,8,12,43
4/1/2002,2002,NL,SFN,San Francisco Giants,W,N,Y,Y,N,162,95,66,783,5497,1465,300,35,198,616,961,74,21,616,566,3.54,10,13,43
4/1/2002,2002,NL,SLN,St. Louis Cardinals,C,Y,N,N,N,162,97,65,787,5505,1475,285,26,175,542,927,86,42,648,595,3.7,4,9,42
4/1/2002,2002,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,161,55,106,673,5604,1418,297,35,133,456,1115,102,45,918,846,5.29,12,3,25
4/1/2002,2002,AL,TEX,Texas Rangers,W,N,N,N,N,162,72,90,843,5618,1510,304,27,230,554,1055,62,34,882,824,5.15,4,4,33
4/1/2002,2002,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,78,84,813,5581,1457,305,38,187,522,1142,71,18,828,767,4.8,6,6,41
4/1/2003,2003,AL,ANA,Anaheim Angels,W,N,N,N,N,162,77,85,736,5487,1473,276,33,150,476,838,129,61,743,680,4.28,5,9,39
4/1/2003,2003,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,84,78,717,5570,1467,303,47,152,531,1006,76,38,685,621,3.84,7,11,42
4/1/2003,2003,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,101,61,907,5670,1608,321,31,235,545,933,68,22,740,663,4.1,4,7,51
4/1/2003,2003,AL,BAL,Baltimore Orioles,E,N,N,N,N,163,71,91,743,5665,1516,277,24,152,431,902,89,36,820,767,4.76,9,3,41
4/1/2003,2003,AL,BOS,Boston Red Sox,E,N,Y,N,N,162,95,67,961,5769,1667,371,40,238,620,943,88,35,809,729,4.48,5,6,36
4/1/2003,2003,AL,CHA,Chicago White Sox,C,N,N,N,N,162,86,76,791,5487,1445,303,19,220,519,916,77,29,715,663,4.17,12,4,36
4/1/2003,2003,NL,CHN,Chicago Cubs,C,Y,N,N,N,162,88,74,724,5519,1431,302,24,172,492,1158,73,31,683,619,3.83,13,14,36
4/1/2003,2003,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,69,93,694,5509,1349,239,21,182,524,1326,80,34,886,818,5.09,4,5,38
4/1/2003,2003,AL,CLE,Cleveland Indians,C,N,N,N,N,162,68,94,699,5572,1413,296,26,158,466,1062,86,61,778,682,4.21,5,7,34
4/1/2003,2003,NL,COL,Colorado Rockies,W,N,N,N,N,162,74,88,853,5518,1472,330,31,198,619,1134,63,37,892,821,5.2,3,4,34
4/1/2003,2003,AL,DET,Detroit Tigers,C,N,N,N,N,162,43,119,591,5466,1312,201,39,153,443,1099,98,63,928,847,5.3,3,5,27
4/1/2003,2003,NL,FLO,Florida Marlins,E,N,Y,Y,Y,162,91,71,751,5490,1459,292,44,157,515,978,150,74,692,648,4.04,7,11,36
4/1/2003,2003,NL,HOU,Houston Astros,C,N,N,N,N,162,87,75,805,5583,1466,308,30,191,557,1021,66,30,677,622,3.86,1,5,50
4/1/2003,2003,AL,KCA,Kansas City Royals,C,N,N,N,N,162,83,79,836,5568,1526,288,39,162,476,926,120,42,867,808,5.05,7,10,36
4/1/2003,2003,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,85,77,574,5458,1328,260,25,124,407,985,80,36,556,511,3.16,3,17,58
4/1/2003,2003,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,68,94,714,5548,1423,266,24,196,547,1221,99,39,873,810,5.02,5,3,44
4/1/2003,2003,AL,MIN,Minnesota Twins,C,Y,N,N,N,162,90,72,801,5655,1567,318,45,155,512,1027,94,44,758,716,4.41,7,8,45
4/1/2003,2003,NL,MON,Montreal Expos,E,N,N,N,N,162,83,79,711,5437,1404,294,25,144,522,990,100,39,716,640,4.01,15,10,42
4/1/2003,2003,AL,NYA,New York Yankees,E,Y,N,Y,N,163,101,61,877,5605,1518,304,14,230,684,1042,98,33,716,653,4.02,8,12,49
4/1/2003,2003,NL,NYN,New York Mets,E,N,N,N,N,161,66,95,642,5341,1317,262,24,124,489,1035,70,31,754,704,4.48,3,10,38
4/1/2003,2003,AL,OAK,Oakland Athletics,W,Y,N,N,N,162,96,66,768,5497,1398,317,24,176,556,898,48,14,643,582,3.63,16,14,48
4/1/2003,2003,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,86,76,791,5543,1448,325,27,166,651,1155,72,29,697,648,4.04,9,13,33
4/1/2003,2003,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,75,87,753,5581,1492,275,45,163,529,1049,86,37,801,744,4.64,7,10,44
4/1/2003,2003,NL,SDN,San Diego Padres,W,N,N,N,N,162,64,98,678,5531,1442,257,32,128,565,1073,76,39,831,774,4.87,2,10,31
4/1/2003,2003,AL,SEA,Seattle Mariners,W,N,N,N,N,162,93,69,795,5561,1509,290,33,139,586,989,108,37,637,602,3.76,8,15,38
4/1/2003,2003,NL,SFN,San Francisco Giants,W,Y,N,N,N,161,100,61,755,5456,1440,281,29,180,593,980,53,37,638,595,3.73,7,10,43
4/1/2003,2003,NL,SLN,St. Louis Cardinals,C,N,N,N,N,162,85,77,876,5672,1580,342,32,196,580,952,82,32,796,748,4.6,9,10,41
4/1/2003,2003,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,63,99,715,5654,1501,298,38,137,420,1030,142,42,852,787,4.93,7,7,30
4/1/2003,2003,AL,TEX,Texas Rangers,W,N,N,N,N,162,71,91,826,5664,1506,274,36,239,488,1052,65,25,969,903,5.67,4,3,43
4/1/2003,2003,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,86,76,894,5661,1580,357,33,190,546,1081,37,25,826,748,4.69,14,6,35
4/1/2004,2004,AL,ANA,Anaheim Angels,W,Y,N,N,N,162,92,70,836,5675,1603,272,37,162,450,942,143,46,734,692,4.28,2,11,50
4/1/2004,2004,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,51,111,615,5544,1401,295,38,135,441,1022,53,32,899,794,4.98,5,6,33
4/1/2004,2004,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,96,66,803,5570,1503,304,37,178,587,1158,86,32,668,603,3.74,4,13,48
4/1/2004,2004,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,78,84,842,5736,1614,319,18,169,528,949,101,41,830,760,4.7,8,10,27
4/1/2004,2004,AL,BOS,Boston Red Sox,E,N,Y,Y,Y,162,98,64,949,5720,1613,373,25,222,659,1189,68,30,768,674,4.18,4,12,36
4/1/2004,2004,AL,CHA,Chicago White Sox,C,N,N,N,N,162,83,79,865,5534,1481,284,19,242,499,1030,78,51,831,782,4.91,8,8,34
4/1/2004,2004,NL,CHN,Chicago Cubs,C,N,N,N,N,162,89,73,789,5628,1508,308,29,235,489,1080,66,28,665,621,3.81,3,6,42
4/1/2004,2004,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,76,86,750,5518,1380,287,28,194,599,1335,77,25,907,832,5.19,5,8,47
4/1/2004,2004,AL,CLE,Cleveland Indians,C,N,N,N,N,162,80,82,858,5676,1565,345,29,184,606,1009,94,55,857,784,4.81,8,8,32
4/1/2004,2004,NL,COL,Colorado Rockies,W,N,N,N,N,162,68,94,833,5577,1531,331,34,202,568,1181,44,33,923,883,5.54,3,2,36
4/1/2004,2004,AL,DET,Detroit Tigers,C,N,N,N,N,162,72,90,827,5623,1531,284,54,201,518,1144,86,50,844,788,4.93,7,9,35
4/1/2004,2004,NL,FLO,Florida Marlins,E,N,N,N,N,162,83,79,718,5486,1447,275,32,148,499,968,96,43,700,655,4.1,6,14,53
4/1/2004,2004,NL,HOU,Houston Astros,C,N,Y,N,N,162,92,70,803,5468,1458,294,36,187,590,999,89,30,698,650,4.05,2,13,47
4/1/2004,2004,AL,KCA,Kansas City Royals,C,N,N,N,N,162,58,104,720,5538,1432,261,29,150,461,1057,67,48,905,813,5.15,6,3,25
4/1/2004,2004,NL,LAN,Los Angeles Dodgers,W,Y,N,N,N,162,93,69,761,5542,1450,226,30,203,536,1092,102,41,684,647,4.01,2,6,51
4/1/2004,2004,NL,MIL,Milwaukee Brewers,C,N,N,N,N,161,67,94,634,5483,1358,295,32,135,540,1312,138,40,757,679,4.24,6,10,42
4/1/2004,2004,AL,MIN,Minnesota Twins,C,Y,N,N,N,162,92,70,780,5623,1494,310,24,191,513,982,116,46,715,661,4.03,4,9,48
4/1/2004,2004,NL,MON,Montreal Expos,E,N,N,N,N,162,67,95,635,5474,1361,276,27,151,496,925,109,38,769,696,4.33,11,11,31
4/1/2004,2004,AL,NYA,New York Yankees,E,Y,N,N,N,162,101,61,897,5527,1483,281,20,242,670,982,84,33,808,752,4.69,1,5,59
4/1/2004,2004,NL,NYN,New York Mets,E,N,N,N,N,162,71,91,684,5532,1376,289,20,185,512,1159,107,23,731,658,4.09,2,6,31
4/1/2004,2004,AL,OAK,Oakland Athletics,W,N,N,N,N,162,91,71,793,5728,1545,336,15,189,608,1061,47,22,742,682,4.17,10,8,35
4/1/2004,2004,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,86,76,840,5643,1505,303,23,215,645,1133,100,27,781,724,4.45,4,5,43
4/1/2004,2004,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,161,72,89,680,5483,1428,267,39,142,415,1066,63,40,744,680,4.29,3,8,46
4/1/2004,2004,NL,SDN,San Diego Padres,W,N,N,N,N,162,87,75,768,5573,1521,304,32,139,566,910,52,25,705,645,4.03,3,8,44
4/1/2004,2004,AL,SEA,Seattle Mariners,W,N,N,N,N,162,63,99,698,5722,1544,276,20,136,492,1058,110,42,823,772,4.76,7,7,28
4/1/2004,2004,NL,SFN,San Francisco Giants,W,N,N,N,N,162,91,71,850,5546,1500,314,33,183,705,874,43,23,770,695,4.29,8,8,46
4/1/2004,2004,NL,SLN,St. Louis Cardinals,C,Y,N,Y,N,162,105,57,855,5555,1544,319,24,214,548,1085,111,47,659,605,3.75,4,12,57
4/1/2004,2004,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,161,70,91,714,5483,1416,278,46,145,469,944,132,42,842,757,4.81,3,5,35
4/1/2004,2004,AL,TEX,Texas Rangers,W,N,N,N,N,162,89,73,860,5615,1492,323,34,227,500,1099,69,36,794,724,4.53,5,9,52
4/1/2004,2004,AL,TOR,Toronto Blue Jays,E,N,N,N,N,161,67,94,719,5531,1438,290,34,145,513,1083,58,31,823,775,4.91,6,11,37
4/1/2005,2005,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,77,85,696,5550,1419,291,27,191,606,1094,67,26,856,783,4.84,6,10,45
4/1/2005,2005,NL,ATL,Atlanta Braves,E,Y,N,N,N,162,90,72,769,5486,1453,308,37,184,534,1084,92,32,674,639,3.98,8,12,38
4/1/2005,2005,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,74,88,729,5551,1492,296,27,189,447,902,83,37,800,724,4.56,2,9,38
4/1/2005,2005,AL,BOS,Boston Red Sox,E,N,Y,N,N,162,95,67,910,5626,1579,339,21,199,653,1044,45,12,805,752,4.74,6,8,38
4/1/2005,2005,AL,CHA,Chicago White Sox,C,Y,N,Y,Y,162,99,63,741,5529,1450,253,23,200,435,1002,137,67,645,592,3.61,9,10,54
4/1/2005,2005,NL,CHN,Chicago Cubs,C,N,N,N,N,162,79,83,703,5584,1506,323,23,194,419,920,65,39,714,671,4.19,8,10,39
4/1/2005,2005,NL,CIN,Cincinnati Reds,C,N,N,N,N,163,73,89,820,5565,1453,335,15,222,611,1303,72,23,889,820,5.15,2,1,31
4/1/2005,2005,AL,CLE,Cleveland Indians,C,N,N,N,N,162,93,69,790,5609,1522,337,30,207,503,1093,62,36,642,582,3.61,6,10,51
4/1/2005,2005,NL,COL,Colorado Rockies,W,N,N,N,N,162,67,95,740,5542,1477,280,34,150,509,1103,65,32,862,808,5.13,4,4,37
4/1/2005,2005,AL,DET,Detroit Tigers,C,N,N,N,N,162,71,91,723,5602,1521,283,45,168,384,1038,66,28,787,719,4.51,7,2,37
4/1/2005,2005,NL,FLO,Florida Marlins,E,N,N,N,N,162,83,79,717,5502,1499,306,32,128,512,918,96,38,732,666,4.16,14,15,42
4/1/2005,2005,NL,HOU,Houston Astros,C,N,Y,Y,N,163,89,73,693,5462,1400,281,32,161,481,1037,115,44,609,563,3.51,6,11,45
4/1/2005,2005,AL,KCA,Kansas City Royals,C,N,N,N,N,162,56,106,701,5503,1445,289,34,126,424,1008,53,33,935,862,5.49,4,4,25
4/1/2005,2005,AL,LAA,Los Angeles Angels of Anaheim,W,Y,N,N,N,162,95,67,761,5624,1520,278,30,147,447,848,161,57,643,598,3.68,7,11,54
4/1/2005,2005,NL,LAN,Los Angeles Dodgers,W,N,N,N,N,162,71,91,685,5433,1374,284,21,149,541,1094,58,35,755,695,4.38,6,9,40
4/1/2005,2005,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,81,81,726,5448,1413,327,19,175,531,1162,79,34,697,635,3.97,7,6,46
4/1/2005,2005,AL,MIN,Minnesota Twins,C,N,N,N,N,162,83,79,688,5564,1441,269,32,134,485,978,102,44,662,604,3.71,9,8,44
4/1/2005,2005,AL,NYA,New York Yankees,E,Y,N,N,N,162,95,67,886,5624,1552,259,16,229,637,989,84,27,789,718,4.52,8,14,46
4/1/2005,2005,NL,NYN,New York Mets,E,N,N,N,N,162,83,79,722,5505,1421,279,32,175,486,1075,153,40,648,599,3.76,8,11,38
4/1/2005,2005,AL,OAK,Oakland Athletics,W,N,N,N,N,162,88,74,772,5627,1476,310,20,155,537,819,31,22,658,594,3.69,9,12,38
4/1/2005,2005,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,88,74,807,5542,1494,282,35,167,639,1083,116,27,726,672,4.21,4,6,40
4/1/2005,2005,NL,PIT,Pittsburgh Pirates,C,N,N,N,N,162,67,95,680,5573,1445,292,38,139,471,1092,73,30,769,706,4.42,4,14,35
4/1/2005,2005,NL,SDN,San Diego Padres,W,Y,N,N,N,162,82,80,684,5502,1416,269,39,130,600,977,99,44,726,668,4.13,4,8,45
4/1/2005,2005,AL,SEA,Seattle Mariners,W,N,N,N,N,162,69,93,699,5507,1408,289,34,130,466,986,102,47,751,712,4.49,6,7,39
4/1/2005,2005,NL,SFN,San Francisco Giants,W,N,N,N,N,162,75,87,649,5462,1427,299,26,128,431,901,71,35,745,695,4.33,4,8,46
4/1/2005,2005,NL,SLN,St. Louis Cardinals,C,Y,N,N,N,162,100,62,805,5538,1494,287,26,170,534,947,83,36,634,560,3.49,15,14,48
4/1/2005,2005,AL,TBA,Tampa Bay Devil Rays,E,N,N,N,N,162,67,95,750,5552,1519,289,40,157,412,990,151,49,936,851,5.39,1,4,43
4/1/2005,2005,AL,TEX,Texas Rangers,W,N,N,N,N,162,79,83,865,5716,1528,311,29,260,495,1112,67,15,858,794,4.96,2,6,46
4/1/2005,2005,AL,TOR,Toronto Blue Jays,E,N,N,N,N,162,80,82,775,5581,1480,307,39,136,486,955,72,35,705,653,4.06,9,8,35
4/1/2005,2005,NL,WAS,Washington Nationals,E,N,N,N,N,162,81,81,639,5426,1367,311,32,117,491,1090,45,45,673,627,3.87,4,9,51
4/1/2006,2006,NL,ARI,Arizona Diamondbacks,W,N,N,N,N,162,76,86,773,5645,1506,331,38,160,504,965,76,30,788,727,4.48,8,9,34
4/1/2006,2006,NL,ATL,Atlanta Braves,E,N,N,N,N,162,79,83,849,5583,1510,312,26,222,526,1169,52,35,805,736,4.6,6,6,38
4/1/2006,2006,AL,BAL,Baltimore Orioles,E,N,N,N,N,162,70,92,768,5610,1556,288,20,164,474,878,121,32,899,843,5.35,5,9,35
4/1/2006,2006,AL,BOS,Boston Red Sox,E,N,N,N,N,162,86,76,820,5619,1510,327,16,192,672,1056,51,23,825,773,4.83,3,6,46
4/1/2006,2006,AL,CHA,Chicago White Sox,C,N,N,N,N,162,90,72,868,5657,1586,291,20,236,502,1056,93,48,794,743,4.61,5,11,46
4/1/2006,2006,NL,CHN,Chicago Cubs,C,N,N,N,N,162,66,96,716,5587,1496,271,46,166,395,928,121,49,834,758,4.74,2,7,29
4/1/2006,2006,NL,CIN,Cincinnati Reds,C,N,N,N,N,162,80,82,749,5515,1419,291,12,217,614,1192,124,33,801,725,4.51,9,10,36
4/1/2006,2006,AL,CLE,Cleveland Indians,C,N,N,N,N,162,78,84,870,5619,1576,351,27,196,556,1204,55,23,782,698,4.41,13,13,24
4/1/2006,2006,NL,COL,Colorado Rockies,W,N,N,N,N,162,76,86,813,5562,1504,325,54,157,561,1108,85,50,812,749,4.66,5,8,34
4/1/2006,2006,AL,DET,Detroit Tigers,C,N,Y,Y,N,162,95,67,822,5642,1548,294,40,203,430,1133,60,40,675,618,3.84,3,16,46
4/1/2006,2006,NL,FLO,Florida Marlins,E,N,N,N,N,162,78,84,758,5502,1454,309,42,182,497,1249,110,58,772,696,4.37,6,6,41
4/1/2006,2006,NL,HOU,Houston Astros,C,N,N,N,N,162,82,80,735,5521,1407,275,27,174,585,1076,79,36,719,666,4.08,5,12,42
4/1/2006,2006,AL,KCA,Kansas City Royals,C,N,N,N,N,162,62,100,757,5589,1515,335,37,124,474,1040,65,34,971,896,5.65,3,5,35
4/1/2006,2006,AL,LAA,Los Angeles Angels of Anaheim,W,N,N,N,N,162,89,73,766,5609,1539,309,29,159,486,914,148,57,732,652,4.04,5,12,50
4/1/2006,2006,NL,LAN,Los Angeles Dodgers,W,N,Y,N,N,162,88,74,820,5628,1552,307,58,153,601,959,128,49,751,686,4.23,1,10,40
4/1/2006,2006,NL,MIL,Milwaukee Brewers,C,N,N,N,N,162,75,87,730,5433,1400,301,20,180,502,1233,71,37,833,763,4.82,7,8,43
4/1/2006,2006,AL,MIN,Minnesota Twins,C,Y,N,N,N,162,96,66,801,5602,1608,275,34,143,490,872,101,42,683,632,3.95,1,6,40
4/1/2006,2006,AL,NYA,New York Yankees,E,Y,N,N,N,162,97,65,930,5651,1608,327,21,210,649,1053,139,35,767,708,4.41,5,8,43
4/1/2006,2006,NL,NYN,New York Mets,E,Y,N,N,N,162,97,65,834,5558,1469,323,41,200,547,1071,146,35,731,673,4.14,5,12,43
4/1/2006,2006,AL,OAK,Oakland Athletics,W,Y,N,N,N,162,93,69,771,5500,1429,266,22,175,650,976,61,20,727,679,4.21,5,11,54
4/1/2006,2006,NL,PHI,Philadelphia Phillies,E,N,N,N,N,162,85,77,865,5687,1518,294,41,216,626,1203,92,25,812,747,4.6,4,6,42
