Location,Burrito,Date,Recommendation,Reviewer,Notes,Yelp Rating,Cost,Tortilla (0-5),Temp (0-5),Fillings (0-5),Meat Volume (0-5),Uniformity (0-5),Salsa (0-5),Synergy (0-5),Wrap Quality (0-5)
California Burritos,California Everything,8/1/2016,Yes,Matteo,,,6.25,4,3.5,4,3.5,4,3.5,4,4.5
California Burritos,California Everything,8/1/2016,Yes,Scott,,,6.25,3.5,2,3.5,3.5,2.5,2.5,3.5,4.5
California Burritos,California Everything,8/1/2016,Yes,Aga,,,6.25,4,4,5,4.75,5,4,4.5,4.5
California Burritos,Surf & Turf,8/1/2016,Yes,Hannah,,,7,3,2.5,3,3.5,4,3,3,4
California Burritos,Carne asada everything,8/1/2016,Yes,Brent,,,6.25,4.5,4,4.5,4,4,4.5,4.5,4
Los Primos Mexican Food,Surf & Turf,8/6/2016,No,Emily,,,7,4,4,3,2,3.5,3,3,4.5
Los Primos Mexican Food,Adobada,8/6/2016,No,Scott,,,6.25,4,2.5,3,2,4,3.5,3,4.5
Los Primos Mexican Food,Carne asada,8/6/2016,No,Ricardo,,,7,3.5,3,2,1,3,3.5,1.5,4
Papa Chito's Mexican Food,California,8/9/2016,No,Scott,,2.5,6.25,3.5,3.5,2.5,2.5,4,2,1.5,5
Papa Chito's Mexican Food,California,8/9/2016,Yes,Sage,,,6.25,4,5,3,4,3.5,4,4,5
El Pueblo Mexican Food,California,8/10/2016,Yes,Scott,,4,4.99,4.5,4.5,4,4.5,5,2.5,4.5,5
Burros and Fries,California,8/12/2016,Yes,Scott,good fries,3.5,6.89,3.5,4.5,3.5,3,1.5,2.5,3.5,5
Burros and Fries,Carne asada,8/12/2016,Yes,Brent,very little guac,,6.89,3,5,4.5,3,4,4.5,4,4.5
King Burrito,Adobada,8/16/2016,No,Emily,Too much tortilla per bite,4,4.99,3,3,3,2.5,2,2.5,3,4
King Burrito,California,8/16/2016,No,Scott,it does taste homemade. but that's not a good thing,,5.29,2.5,4.5,3,2.5,1.5,3,2,4.5
Taco Stand,California,8/17/2016,Yes,Scott,,,7.49,4,5,3.5,3.5,2,3.5,4,5
Taco Stand,California,8/17/2016,Yes,TJ,,,7.49,3.5,5,3,4,4.5,3,3.5,5
Carmen's Mexican Food,Adobada,8/19/2016,Yes,Scott,really good guac,4,6.5,2.5,4,4,4,3,1.5,3.5,5
Carmen's Mexican Food,Carne asada,8/19/2016,Yes,Brent,,,6.5,4.5,4.5,4,4,3.5,4,4,4
Senor Panchos,Pollo asado,8/21/2016,No,Scott,"guac is good, very avocado-y",4,6.25,2.5,3.5,3,5,4.5,3.5,2,5
Senor Panchos,California,8/21/2016,Yes,Emily,feels very dense; a lot of meat,,6.25,3,4,3,3.5,4.5,4,4,5
Los Cabos,California,8/27/2016,No,Scott,Repeatedly get large bites of sour cream,4,5.99,4,4.5,2.5,2.5,1.5,3,4,5
Los Cabos,Al pastor,8/27/2016,Yes,Emily,Really good with lime,,5.69,4,4.5,3.5,4,3.5,2.5,4,4.5
Rubios UCSD,Tilapia one,8/30/2016,No,Scott,,3.5,7.99,1.5,4,3,1.5,4.5,2.5,3,1.5
Lucha Libre North Park,Surf & Turf,8/30/2016,Yes,Hannah,,3.5,8.25,3,2.5,3,3,3,3.5,3,3
