Page,Date of Post,Post Copy,Link,Post Type,Hour of Post,Time of Day,Shares,Reactions,Likes,Comments
Spartan Race,9/17/2016,Less than one month until Spartans will battle it out for the title of Spartan Race World Champion a…,https://www.facebook.com/spartanrace/videos/10153733423901861/,video,12,Afternoon,18,172,163,7
Spartan Race,9/17/2016,The battle is on in Vermont and SoCal. Two huge races with tons of competition. Who will take the fi…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153733672111861/?type=3,photo,14,Afternoon,9,470,463,5
Spartan Race,9/17/2016,It's back... #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153733910581861/?type=3,photo,15,Evening,168,2623,2343,132
Spartan Race,9/17/2016,The Elite Women explode off the start line and up the first incline of the 2016 SoCal #SpartanRace B…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153733915816861/?type=3,photo,15,Evening,12,778,750,13
Spartan Race,9/17/2016,First place Elite woman crossing the finish line in Killington. #SpartanRace,https://www.facebook.com/spartanrace/videos/10153733970506861/,video,16,Evening,33,919,837,27
Spartan Race,9/18/2016,"Congratulations to the podium finishers of the SoCal #SpartanRace Beast. 
Your top female Elites are…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153734986281861/?type=3,photo,0,Late Night,5,328,320,2
Spartan Race,9/18/2016,The sun rises over the SÃ£o Paulo #SpartanRace Sprint. #AROO and #BoaSorte to those running today in…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153736005291861/?type=3,photo,10,Morning,25,816,776,15
Spartan Race,9/18/2016,"Congratulations to the top Elite men and women of the 2016 Killington #SpartanRace Beast.
Your top E…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153736056771861/?type=3,photo,11,Morning,13,522,508,11
Spartan Race,9/18/2016,The feeling you get when you cross the finish line- worth fighting for. #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153736390326861/?type=3,photo,13,Afternoon,50,1336,1286,20
Spartan Race,9/18/2016,Let's hear an #AROO for the Spartans brave (crazy) enough to take on the steep terrain at Killington…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153736416751861/?type=3,photo,14,Afternoon,12,831,807,18
Spartan Race,9/18/2016,On both coasts Spartans launch off the line kicking off the Vermont and SoCal #SpartanRace Sprints.,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153736614596861/?type=3,photo,15,Evening,11,653,619,13
Spartan Race,9/18/2016,Coach Q SoCal Sprint http://sprtn.im/WHYIRACE_2016,https://www.facebook.com/spartanrace/videos/10153736789461861/,video,17,Evening,11,243,231,17
Spartan Race,9/18/2016,Coach Q SoCal Sprint Pala http://sprtn.im/WHYIRACE_2016,https://www.facebook.com/spartanrace/videos/10153736843961861/,video,17,Evening,14,254,241,18
Spartan Race,9/18/2016,"Coach Q SoCal Sprint Pala ""SGX Burpee Challenge"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153736886311861/,video,18,Evening,47,564,479,69
Spartan Race,9/18/2016,#AROO to the podium finishers who conquered the course through the misty mountains at the 2016 Vermo…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153737324486861/?type=3,photo,21,Evening,8,375,371,13
Spartan Race,9/19/2016,"Coach Q WOD ""Speed Week"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153739075351861/,video,15,Evening,23,203,192,12
Spartan Race,9/19/2016,60 seconds to spare?  Joe Di gives Spartans tips on how to fit in exercise while making a cup of cof…,https://www.facebook.com/spartanrace/videos/10153739440011861/,video,18,Evening,14,134,130,7
Spartan Race,9/19/2016,Let's hear it for the newest finishers to join the Spartan community in Brazil! Check the action at …,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153739573236861/?type=3,photo,19,Evening,26,1703,1611,25
Spartan Race,9/19/2016,"There's only one option. And that's ""straight up"". Whatever your mountain. #ClimbOn Coors Light",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153739637551861/?type=3,photo,20,Evening,18,429,415,9
Spartan Race,9/19/2016,Coach Jodie Somers is live from Australia with some tips and tricks to get you obstacle ready for yo…,https://www.facebook.com/spartanrace/videos/10153740013591861/,video,23,Late Night,63,530,486,73
Spartan Race,9/20/2016,A 300lbs difference in this epic and inspiring #SpartanTransformation courtesy of @prsplayer24. Post…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153740809551861/?type=3,photo,7,Morning,74,2383,2170,40
Spartan Race,9/20/2016,Dirt has always wrought new life. What are you growing? #PlantTheSeed #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153741046526861/?type=3,photo,11,Morning,24,432,418,2
Spartan Race,9/20/2016,"Introducing Spartan Revolution Workout 2.0 (October 15)
http://www.spartan.com/en/training/workout-t…",https://www.facebook.com/spartanrace/videos/10153741123016861/,video,12,Afternoon,36,318,297,43
Spartan Race,9/20/2016,LIKE if you've earned your 2016 #SpartanTrifecta. List the races you completed to earn it. #SpartanR…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153741210201861/?type=3,photo,12,Afternoon,70,1743,1644,331
Spartan Race,9/20/2016,#TeamFitAid Red and Black battle it out on the Multi Rig in Episode 1 of the Spartan Obstacle Challe…,https://www.facebook.com/spartanrace/videos/10153741842231861/,video,18,Evening,22,295,287,4
Spartan Race,9/20/2016,#TeamFitAID Red and Black head to the grueling barbed wire obstacle in the next episode of the Spart…,https://www.facebook.com/spartanrace/videos/10153742283471861/,video,22,Evening,20,254,242,4
Spartan Race,9/21/2016,"Tell your story! #SpartanRace #WHYIRACE

http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153743794451861/?type=3,photo,13,Afternoon,16,316,300,3
Spartan Race,9/21/2016,"We're not 100% positive that he's performing a full push-up at the bottom of his burpee, but we'll g…",https://www.facebook.com/LADbible/videos/2913085035405334/,video,15,Evening,,15371,12535,472
Spartan Race,9/21/2016,"Coach Q ""Always Learning"" XPT Training",https://www.facebook.com/spartanrace/videos/10153744376401861/,video,18,Evening,12,208,189,18
Spartan Race,9/21/2016,#SpartanParents- teaching kids to throw pointy objects since 431 BC.,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153744746501861/?type=3,photo,21,Evening,20,798,731,8
Spartan Race,9/21/2016,When you know you look good just after completing a muddy obstacle. #NotAModel #ActualRacer #WCW #Sp…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153744818426861/?type=3,photo,22,Evening,33,2148,2016,26
Spartan Race,9/21/2016,Coach Jodie Somers is live from Australia to take you through some mobility transitions to help keep…,https://www.facebook.com/spartanrace/videos/10153744952176861/,video,23,Late Night,25,258,229,27
Spartan Race,9/22/2016,"#TeamFitAID Black and Red working their legs in a battle of squats, a sandbag carry and a treacherou…",https://www.facebook.com/spartanrace/videos/10153745036601861/,video,0,Late Night,13,178,173,5
Spartan Race,9/22/2016,"Spartan Race and mountainous terrain go hand-in-hand. Luckily, for Spartans of the Northeast thereâ€…",https://www.facebook.com/spartanrace/videos/10153745140121861/,video,1,Late Night,78,441,408,28
Spartan Race,9/22/2016,Started from the bottom now there's beer. #ClimbOn Coors Light,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153746343686861/?type=3,photo,14,Afternoon,13,329,303,19
Spartan Race,9/22/2016,"The U.S. Championship Series continues on NBCSN, Tuesday, September 27th at 10PM EST. Don't miss Spa…",https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153746537671861/?type=3,photo,15,Evening,22,78,76,1
Spartan Race,9/22/2016,"#tbt to the World Champion, Robert Killian (@robert_killian) heaving a sand bag up to the mountain's…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153746936751861/?type=3,photo,19,Evening,4,244,234,10
Spartan Race,9/22/2016,Stay up to date with the weekend's activities at the 2016 #SpartanRace World Championship in North L…,http://sprtn.im/2cPeSBL,link,21,Evening,7,96,95,0
Spartan Race,9/22/2016,#TeamFitAID Red and Black gear up for a double rope climb. Which team's upper body strength will tak…,https://www.facebook.com/spartanrace/videos/10153747182606861/,video,21,Evening,6,168,166,2
Spartan Race,9/23/2016,"""He's one of the most understated badasses ever."" Follow Robert Killian on his #RoadToTahoe in Episo…",https://www.facebook.com/spartanrace/videos/10153747468546861/,video,0,Late Night,30,233,216,8
Spartan Race,9/23/2016,"#fbf to the smokey starting line at the 2014 #SpartanRace World Championship. In just over a week, S…",https://www.facebook.com/spartanrace/videos/10153748562276861/,video,13,Afternoon,17,310,294,6
Spartan Race,9/23/2016,"Coach Q WOD ""Speed & Agility #STFU"" http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153748753281861/,video,14,Afternoon,20,192,181,21
Spartan Race,9/23/2016,0,https://www.facebook.com/events/1332490520102718/,event,15,Evening,,68,68,0
Spartan Race,9/23/2016,This City of Brotherly Loveâ€™s Stadium Series race gives Spartans a chance to take on over three mi…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153755899726861/?type=3,photo,16,Evening,10,166,163,9
Spartan Race,9/23/2016,Your #SwoleMate is now just a swipe away. Weights N' Dates is a  #SpartanRace approved way to meet f…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153749068701861/?type=3,photo,17,Evening,41,1422,1277,79
Spartan Race,9/23/2016,Welcome to Wintergreen. The infamous Virginia Spartan Race is one of legend. Using the ancient Blue …,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153749151416861/?type=3,photo,18,Evening,246,670,628,93
Spartan Race,9/23/2016,"#TeamFitAID Black and Red battle it out in the final challenge, the Spear Throw. Often referred to a…",https://www.facebook.com/spartanrace/videos/10153749352911861/,video,20,Evening,7,167,162,5
Spartan Race,9/23/2016,"This weekend, the City of Brotherly Loveâ€™s Stadium Series race gives Spartans a chance to take on …",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153749515421861/?type=3,photo,21,Evening,61,381,367,22
Spartan Race,9/23/2016,"Tune in next Tuesday at 10 pm EST on NBC Sports, to see former football player, Randy Moss and thous…",https://www.facebook.com/spartanrace/videos/10153749637496861/,video,22,Evening,526,1288,1234,85
Spartan Race,9/23/2016,Coach Jodie Somers is live from Australia to get you up and moving- join us for a group challenge- S…,https://www.facebook.com/spartanrace/videos/10153749755931861/,video,23,Late Night,30,295,256,69
Spartan Race,9/24/2016,Are you going to be in Lake Tahoe on the 1st? Heck yes! So will Clif Bar. They've designed a filter …,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153749859156861/?type=3,photo,1,Late Night,2,119,107,6
Spartan Race,9/24/2016,"Spartans of Philly, the #SpartanRace volunteers are on the course ready to cheer you on and maybe do…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153750690911861/?type=3,photo,11,Morning,11,355,343,14
Spartan Race,9/24/2016,The male #SpartanRace Elites start their battle through three miles of concrete course at Citizens B…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153750721601861/?type=3,photo,11,Morning,8,290,285,9
Spartan Race,9/24/2016,The battle begins in the Blue Ridge Mountains. #SpartanRace,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153750772961861/?type=3,photo,12,Afternoon,30,1088,1027,10
Spartan Race,9/24/2016,Big air from @spartanproteam member Matt Novakovich (@mattnovakovich) as he takes first place in Vir…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153751160316861/?type=3,photo,15,Evening,8,657,632,23
Spartan Race,9/24/2016,"Spartan Workout Tour - Austin, TX
http:/sprtn.im/WorkoutTour",https://www.facebook.com/spartanrace/videos/10153751205501861/,video,15,Evening,70,469,407,62
Spartan Race,9/24/2016,Congratulations to the Elites who dominated a tough course at the Citizens Bank Park #SpartanRace St…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153751492671861/?type=3,photo,17,Evening,9,377,364,17
Spartan Race,9/24/2016,Congratulations to the Elites who dominated a tough course at the Citizens Bank Park #SpartanRace St…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153751492671861/?type=3,photo,17,Evening,9,377,364,17
Spartan Race,9/24/2016,"Let's hear a HUGE #AROO for our first double #trifecta earned by a visual impaired person, Pete Coss…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153751794856861/?type=3,photo,20,Evening,63,3429,3082,90
Spartan Race,9/25/2016,Less than one week until Spartans will battle it out for the title of Spartan Race World Champion at…,https://www.facebook.com/spartanrace/videos/10153763291586861/,video,4,Late Night,28,181,177,10
Spartan Race,9/25/2016,"#AROO to the top Spartan Elites who conquered the course in Virginia.
Your top Elite men are:
1st Ma…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153752883636861/?type=3,photo,7,Morning,8,414,397,11
Spartan Race,9/25/2016,#AROO to the Spartan teams who banded together to tackle the Stadium Series race at Citizens Bank Pa…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153753106511861/?type=3,photo,9,Morning,12,428,418,7
Spartan Race,9/25/2016,The Elites launch off the starting line and into the mist at the 2016 Virginia #SpartanRace Sprint.,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153753286701861/?type=3,photo,12,Afternoon,30,1013,980,13
Spartan Race,9/25/2016,"Spartan Workout Tour - Dallas, TX
http:/sprtn.im/WorkoutTour",https://www.facebook.com/spartanrace/videos/10153753697031861/,video,15,Evening,93,776,692,90
Spartan Race,9/25/2016,"There are few things more satisfying than a tall, cold... ropeclimb. Coors Light #ClimbOn",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153753775921861/?type=3,photo,16,Evening,7,309,301,7
Spartan Race,9/26/2016,Let's hear it for the Spartans who are lucky enough to wake up Monday still sore from a weekend race…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153755823716861/?type=3,photo,11,Morning,92,1733,1636,78
Spartan Race,9/26/2016,The most anticipated obstacle racing weekend of the year is less than a week away. This Saturday the…,https://www.facebook.com/spartanrace/videos/10153755997826861/,video,13,Afternoon,459,1238,1131,61
Spartan Race,9/26/2016,"Coach Q WOD ""L's & Grip"" coaches choice http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153756238781861/,video,15,Evening,6,161,151,24
Spartan Race,9/26/2016,"There's no easy way to complete the Atlas Carry, but there is an easiest way. Check out today's Mond…",https://www.facebook.com/spartanrace/videos/10153756612656861/,video,18,Evening,82,407,399,54
Spartan Race,9/26/2016,A life and fitness makeover starts with a single burpee. #MotivationMonday #WHYIRACE,http://sprtn.im/2cn0uQw,link,20,Evening,5,97,88,5
Spartan Race,9/26/2016,Will the Sandbag Carry be the obstacle that determines the top of the podium? Tune in for the Ashevi…,https://www.facebook.com/spartanrace/videos/10153756933046861/,video,21,Evening,101,452,432,22
Spartan Race,9/26/2016,Are you going to be in Lake Tahoe on the 1st? Great! So will Clif Bar. They've designed a filter esp…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153757080126861/?type=3,photo,22,Evening,4,167,163,4
Spartan Race,9/26/2016,"Coach Jodie Somers is live from Australia with a workout to advance your grip strength -AROO ðŸ’ª
ht…",https://www.facebook.com/spartanrace/videos/10153757210731861/,video,23,Late Night,20,284,249,27
Spartan Race,9/27/2016,"Lyndsay Webster swept the U.S. Championship Series, but can she take top honors at the 2016 #Spartan…",https://www.facebook.com/spartanrace/videos/10153757351786861/,video,0,Late Night,23,324,314,5
Spartan Race,9/27/2016,"Spartan gives a huge AROO to the racers, fans and volunteers at the races in Virginia and Citizens B…",https://www.facebook.com/spartanrace/photos/a.10151650652561861.1073741954.251061411860/10153757509926861/?type=3,photo,2,Late Night,3,242,237,7
Spartan Race,9/27/2016,0,https://www.facebook.com/events/663421887153669/,event,3,Late Night,,83,82,1
Spartan Race,9/27/2016,"With less than a week until the #SpartanRace World Championship in North Lake Tahoe, @SpartanProTeam…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153758369301861/?type=3,photo,13,Afternoon,11,261,251,2
Spartan Race,9/27/2016,Today the Spartan tribe will descend upon the rain soaked labrinth of blasted rock and rugged wilder…,https://www.facebook.com/spartanrace/videos/10153758621811861/,video,15,Evening,327,606,562,41
Spartan Race,9/27/2016,The longest journey never feels too long when I'm with you. Tag your #SpartanPartner! #WHYIRACE,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153758764591861/?type=3,photo,17,Evening,21,1004,940,100
Spartan Race,9/27/2016,"Can willpower and strength bring U.S. Championship Series, winner Ryan Atkins, to the top of the Spa…",https://www.facebook.com/spartanrace/videos/10153758926356861/,video,18,Evening,40,321,312,3
Spartan Race,9/27/2016,AROO to the Spartans that took on the City of Brotherly Loveâ€™s Stadium Series race with over three…,https://www.facebook.com/spartanrace/photos/a.10153759070741861.1073742721.251061411860/10153759071621861/?type=3,photo,20,Evening,9,214,205,7
Spartan Race,9/27/2016,"With two TRIFECTAs, a Hurricane Heat and an Ultra Beast behind her, Claire Lueking has an impressive…",http://sprtn.im/2cG2MrI,link,21,Evening,81,1496,1294,57
Spartan Race,9/27/2016,"As the #Spartan championship race approaches, get inspired to take your workout to the next level wi…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153759385461861/?type=3,photo,22,Evening,10,158,147,3
Spartan Race,9/27/2016,Together we are stronger.,https://www.facebook.com/photo.php?fbid=10210977218766394&set=gm.1854069841494685&type=3,photo,23,Late Night,,200,194,4
Spartan Race,9/27/2016,Taper with the VTster Before TAHOE!,https://www.facebook.com/spartanrace/videos/10153759526971861/,video,23,Late Night,8,241,218,23
Spartan Race,9/28/2016,One hour until the Asheville Spartan Race airs on NBC Sports. Tune in and find out who tops the podi…,https://www.facebook.com/spartanrace/videos/10153759615626861/,video,1,Late Night,71,609,586,18
Spartan Race,9/28/2016,A brain-eating virus proves to be no match for Spartans Tim and Lori Frame. Read their inspiring sto…,http://sprtn.im/2dv9xLM,link,14,Afternoon,17,161,143,4
Spartan Race,9/28/2016,"Coach Q WOD ""Breathing and mobility"" coaches choice http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153760854946861/,video,15,Evening,20,236,222,41
Spartan Race,9/28/2016,Congrats to all the racers that took on the infamous Virginia Spartan Race. The race is one of legen…,https://www.facebook.com/spartanrace/photos/a.10153760856716861.1073742722.251061411860/10153760856791861/?type=3,photo,15,Evening,21,336,322,8
Spartan Race,9/28/2016,The Spartan Race World Championship is upon us. Tune in for live updates on our social channels (Fac…,https://www.facebook.com/spartanrace/photos/a.10150560594891861.372646.251061411860/10153760877991861/?type=3,photo,15,Evening,19,267,257,2
Spartan Race,9/28/2016,0,https://www.facebook.com/events/195680094176404/,event,16,Evening,,166,148,26
Spartan Race,9/28/2016,The most anticipated obstacle racing weekend of the year will feature Elite racers from over 16 coun…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153761098471861/?type=3,photo,17,Evening,45,167,154,3
Spartan Race,9/28/2016,Congrats to all the racers that took on the infamous Virginia Spartan Race. The race is one of legen…,https://www.facebook.com/spartanrace/photos/a.10153761086046861.1073742723.251061411860/10153761086116861/?type=3,photo,17,Evening,10,280,267,6
Spartan Race,9/28/2016,"David Magida, Host of Spartan Race on NBCSports, goes live now to recap last night's episode and dis…",https://www.facebook.com/spartanrace/videos/10153761247611861/,video,19,Evening,6,198,185,72
Spartan Race,9/28/2016,Get in the zone with our Spartan Playlist - with songs sourced directly from Clif Bar Spartan athlet…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153761348771861/?type=3,photo,20,Evening,10,79,79,2
Spartan Race,9/28/2016,"This October, Matt Carroll is headed to the Spartan World Championship with his mother. No, sheâ€™s …",http://sprtn.im/2deBeLl,link,22,Evening,66,1486,1330,25
Spartan Race,9/28/2016,"""To get through a big race like this we're gonna need the energy not only of our competitors, but of…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153761709331861/?type=3,photo,23,Late Night,2,113,110,1
Spartan Race,9/28/2016,Coach Jodie Somers is live from Australia to talk to you about Race Preparation and building a good …,https://www.facebook.com/spartanrace/videos/10153761777081861/,video,23,Late Night,25,403,365,76
Spartan Race,9/29/2016,Spartan sweepstakes winner has his sights on the Tahoe Ultra Beast finish line. #RoadToTahoe,http://sprtn.im/2dxVZlw,link,0,Late Night,,89,85,1
Spartan Race,9/29/2016,#tbt to last year's #SpartanRace World Championship winner Robert Killian (@robert_killian) crossing…,https://www.facebook.com/spartanrace/videos/10153762935176861/,video,14,Afternoon,8,260,252,7
Spartan Race,9/29/2016,"""Those few seconds can be the difference between first and third place. You canâ€™t just be good at …",https://www.facebook.com/spartanrace/videos/10153763142066861/,video,16,Evening,62,346,329,6
Spartan Race,9/29/2016,We are just TWO DAYS away from kicking off the most anticipated obstacle course race of the year: Th…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153763328601861/?type=3,photo,17,Evening,53,458,434,5
Spartan Race,9/29/2016,"Don't let age stop you! #WHYIRACE #SpartanRace

http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153763382516861/?type=3,photo,18,Evening,240,1489,1396,52
Spartan Race,9/29/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153763523336861/,video,19,Evening,162,483,449,79
Spartan Race,9/29/2016,"It's back. This weekend tune into Spartan's social media channels (Facebook, Twitter, Instagram and …",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153763589826861/?type=3,photo,20,Evening,65,660,642,12
Spartan Race,9/29/2016,"""I want to define this sport so that people later on in life can challenge themselves and be better …",https://www.facebook.com/spartanrace/videos/10153763842571861/,video,22,Evening,32,406,390,7
Spartan Race,9/30/2016,"Faye Stenning may be a taken woman, but don't give up hope- you can still find your #SwoleMate by do…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153764084656861/?type=3,photo,1,Late Night,3,213,198,5
Spartan Race,9/30/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153764222591861/,video,2,Late Night,86,526,497,51
Spartan Race,9/30/2016,Over the years we've seen our fair share of incredible athletes prove themselves at obstacle racingâ…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153765233106861/?type=3,photo,13,Afternoon,6,200,190,9
Spartan Race,9/30/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153765322216861/,video,14,Afternoon,16,134,130,10
Spartan Race,9/30/2016,"Coach Q WOD ""Sport Specific"" play day http://sprtn.im/WHYIRACE_2016",https://www.facebook.com/spartanrace/videos/10153765417021861/,video,15,Evening,19,280,254,29
Spartan Race,9/30/2016,"Spartan World Championship racers, fans and volunteers, be sure to capture the race weekend on SnapC…",https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153765464566861/?type=3,photo,15,Evening,2,182,177,2
Spartan Race,9/30/2016,A message to the Spartans heading to the #SpartanRace World Championship in North Lake Tahoe: Next t…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153765480196861/?type=3,photo,15,Evening,102,574,498,44
Spartan Race,9/30/2016,Amelia Boone and Robert Killian LIVE from Tahoe!,https://www.facebook.com/spartanrace/videos/10153765538106861/,video,16,Evening,17,613,557,63
Spartan Race,9/30/2016,"""Everyone is excited to see if all the hard work they put in all season long is going to pay off."" S…",https://www.facebook.com/spartanrace/videos/10153765633281861/,video,17,Evening,28,230,219,3
Spartan Race,9/30/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153765722436861/,video,18,Evening,20,80,73,5
Spartan Race,9/30/2016,What to expect at this year's #SpartanRace World Championship at North Lake Tahoe. #SpartanWC16,https://www.facebook.com/spartanrace/videos/10153765733236861/,video,18,Evening,47,451,406,76
Spartan Race,9/30/2016,"#SpartanRace founder Joe DeSena and the thigh master himself, Kevin Donoghue take us through The Gor…",https://www.facebook.com/spartanrace/videos/10153765771941861/,video,18,Evening,89,440,386,63
Spartan Race,9/30/2016,The 2016 #SpartanRace World Championship in North Lake Tahoe kicks off TOMORROW. Be sure to follow t…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153765831976861/?type=3,photo,18,Evening,51,462,440,5
Spartan Race,9/30/2016,The #SpartanRaceWorld Championship is being hosted in North Lake Tahoe at Squaw Valley Resort. Locat…,https://www.facebook.com/spartanrace/videos/10153766021136861/,video,20,Evening,85,410,384,11
Spartan Race,9/30/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153766026916861/,video,21,Evening,17,162,155,6
Spartan Race,9/30/2016,Coach Jodie Somers is live from Australia with a workout to get you Spartan Race Ready- it's going t…,https://www.facebook.com/spartanrace/videos/10153766477116861/,video,23,Late Night,28,346,303,38
Spartan Race,9/30/2016,Coach Joe DI takes us on a tour of the obstacles featured at the 2016 #SpartanRace World Championshi…,https://www.facebook.com/spartanrace/videos/10153766400626861/,video,23,Late Night,33,275,270,28
Spartan Race,10/1/2016,Come by the Clif Bar festival booth to #ShowYourSpartan.,https://www.facebook.com/spartanrace/videos/10153766614796861/,video,0,Late Night,7,184,177,3
Spartan Race,10/1/2016,Amelia Boone catches up with Zuzana KocumovÃ¡ about her preparation for this year's World Championsh…,https://www.facebook.com/spartanrace/videos/10153766695176861/,video,1,Late Night,17,351,309,28
Spartan Race,10/1/2016,Tap that bell then celebrate with a refreshing Coors Light. #ClimbOn,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153766717171861/?type=3,photo,1,Late Night,6,226,218,5
Spartan Race,10/1/2016,The biggest race of the Spartan calendar is here. The Spartan Race World Championship kicks off earl…,https://www.facebook.com/spartanrace/photos/a.10150616692721861.380805.251061411860/10153766757431861/?type=3,photo,2,Late Night,182,670,604,43
Spartan Race,10/1/2016,"The #SpartanWC16 begins! Founder Joe DeSena has some fun with the ""strangers"" grabbing their morning…",https://www.facebook.com/spartanrace/videos/10153767855516861/,video,13,Afternoon,9,165,152,3
Spartan Race,10/1/2016,"We are live in Tahoe at the Spartan Race World Championship with Spartan CEO Joe DeSena, who is star…",https://www.facebook.com/spartanrace/videos/10153767901431861/,video,14,Afternoon,106,565,515,47
Spartan Race,10/1/2016,"#SpartanRace founder Joe DeSena and wrestling phenom Kyle Dake (@kyledake444) lament on their ""getti…",https://www.facebook.com/spartanrace/videos/10153767921911861/,video,14,Afternoon,3,57,56,2
Spartan Race,10/1/2016,"The Elite men kick off the starting line at North Lake Tahoe, racing to the finish where they hope t…",https://www.facebook.com/spartanrace/videos/10153767938681861/,video,14,Afternoon,77,1101,922,318
Spartan Race,10/1/2016,"The Elite women prepare for glory at North Lake Tahoe, ready to become the next World Champion.",https://www.facebook.com/spartanrace/videos/10153767975531861/,video,14,Afternoon,55,1102,949,191
Spartan Race,10/1/2016,Thigh master live!,https://www.facebook.com/spartanrace/videos/10153768031796861/,video,15,Evening,29,318,289,49
